央视,#genre#
CCTV1,http://124.90.44.40:6060/010/2/00000001000000060000000000000469?virtualDomain=010.live_hls.zte.com#http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV2,http://124.90.44.40:6060/010/2/00000001000000060000000000000471?virtualDomain=010.live_hls.zte.com#http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
CCTV3,http://124.90.44.40:6060/010/2/00000001000000060000000000000642?virtualDomain=010.live_hls.zte.com#http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV4,http://124.90.44.40:6060/010/2/20002000000000010000000002765807?virtualDomain=010.live_hls.zte.com#http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8
CCTV5,http://124.90.44.40:6060/010/2/00000001000000060000000000000643?virtualDomain=010.live_hls.zte.com#http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8
CCTV5+,http://124.90.44.40:6060/010/2/00000001000000060000000000000788?virtualDomain=010.live_hls.zte.com#http://iptv.huuc.edu.cn/hls/cctv5phd.m3u8
CCTV6,http://124.90.44.40:6060/010/2/00000001000000060000000000000644?virtualDomain=010.live_hls.zte.com#http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8
CCTV7,http://124.90.44.40:6060/010/2/00000001000000060000000000000472?virtualDomain=010.live_hls.zte.com#http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8
CCTV8,http://124.90.44.40:6060/010/2/00000001000000060000000000000645?virtualDomain=010.live_hls.zte.com#http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8
CCTV9,http://124.90.44.40:6060/010/2/00000001000000060000000000000473?virtualDomain=010.live_hls.zte.com#http://iptv.huuc.edu.cn/hls/cctv9hd.m3u8
CCTV10,http://124.90.44.40:6060/010/2/00000001000000060000000000000474?virtualDomain=010.live_hls.zte.com#http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8
CCTV11,http://124.90.44.40:6060/010/2/20002000000000010000000002750676?virtualDomain=010.live_hls.zte.com#http://iptv.huuc.edu.cn/hls/cctv11hd.m3u8
CCTV12,http://124.90.44.40:6060/010/2/00000001000000060000000000000476?virtualDomain=010.live_hls.zte.com#http://iptv.huuc.edu.cn/hls/cctv12hd.m3u8
CCTV13,http://124.90.44.40:6060/010/2/00000001000000060000000000000793?virtualDomain=010.live_hls.zte.com#http://iptv.huuc.edu.cn/hls/cctv13hd.m3u8
